season,round,circuit_id,lat,long,country,date,url
1950,1,silverstone,52.0786,-1.01694,UK,13/05/1950,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,2,monaco,43.7347,7.42056,Monaco,21/05/1950,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,3,indianapolis,39.795,-86.2347,USA,30/05/1950,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,4,bremgarten,46.9589,7.40194,Switzerland,04/06/1950,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,5,spa,50.4372,5.97139,Belgium,18/06/1950,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,6,reims,49.2542,3.93083,France,02/07/1950,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,7,monza,45.6156,9.28111,Italy,03/09/1950,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1951,1,bremgarten,46.9589,7.40194,Switzerland,27/05/1951,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,2,indianapolis,39.795,-86.2347,USA,30/05/1951,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,3,spa,50.4372,5.97139,Belgium,17/06/1951,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
1951,4,reims,49.2542,3.93083,France,01/07/1951,http://en.wikipedia.org/wiki/1951_French_Grand_Prix
1951,5,silverstone,52.0786,-1.01694,UK,14/07/1951,http://en.wikipedia.org/wiki/1951_British_Grand_Prix
1951,6,nurburgring,50.3356,6.9475,Germany,29/07/1951,http://en.wikipedia.org/wiki/1951_German_Grand_Prix
1951,7,monza,45.6156,9.28111,Italy,16/09/1951,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
1951,8,pedralbes,41.3903,2.11667,Spain,28/10/1951,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
1952,1,bremgarten,46.9589,7.40194,Switzerland,18/05/1952,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
